id,territorial,fecha_acc,dia_semana_acc,condic_meteor,estado_super,terreno,geometria_acc,tipo_cierre,n_heridos,n_muertos,clase_accidente,hora_acc
2842,Antioquia,2017-07-30,domingo,Normal,Seca y limpia,Montañoso,Curva Derecha,Parcial con reducción de carriles,1,0,Choque,100.0
2843,Antioquia,2017-08-03,jueves,Normal,Seca y limpia,Montañoso,Curva Derecha,Parcial con paso alternado,1,0,Choque,100.0
2844,Antioquia,2017-08-06,domingo,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,2,0,Choque,100.0
2845,Antioquia,2017-08-11,viernes,Normal,Seca y limpia,Montañoso,Recta,Transito normal con precaución,0,0,Choque,100.0
2846,Antioquia,2017-08-16,miercoles,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,0,0,Choque,100.0
2847,Antioquia,2017-08-17,jueves,Normal,Seca y limpia,Montañoso,Curva Izquierda,Parcial con paso alternado,2,0,Caída ocupante,100.0
2848,Antioquia,2017-08-20,domingo,Normal,Seca y limpia,Montañoso,Curva Derecha,Parcial con paso alternado,0,0,Choque,100.0
2849,Antioquia,2017-08-21,lunes,Normal,Seca y limpia,Montañoso,Curva Derecha,Parcial con paso alternado,0,0,Choque,100.0
2850,Antioquia,2017-08-28,lunes,Lluvia,Humeda,Montañoso,Recta,Parcial con reducción de carriles,0,0,Choque,100.0
2851,Antioquia,2017-09-02,sabado,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2852,Antioquia,2017-09-03,domingo,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,1,0,Choque,100.0
2853,Antioquia,2017-09-03,domingo,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,0,0,Choque,100.0
2854,Antioquia,2017-09-05,martes,Normal,Seca y limpia,Montañoso,Curva Izquierda,Transito normal con precaución,1,0,Volcamiento,100.0
2855,Antioquia,2017-09-18,lunes,Normal,Seca y limpia,Montañoso,Recta,Parcial restringido a vehiculos pesados,0,0,Choque,100.0
2856,Antioquia,2017-09-17,domingo,Lluvia,Humeda,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2857,Antioquia,2017-09-29,viernes,Normal,Seca y limpia,Montañoso,Curva Derecha,Parcial restringido a vehiculos pesados,0,0,Choque,100.0
2858,Antioquia,2017-09-30,sabado,Lluvia,Humeda,Montañoso,Recta,Parcial con reducción de carriles,0,0,Choque,100.0
2859,Antioquia,2017-09-30,sabado,Lluvia,Humeda,Montañoso,Recta,Parcial con reducción de carriles,1,0,Choque,100.0
2860,Antioquia,2017-10-22,domingo,Normal,Seca y limpia,Montañoso,Curva Derecha,Parcial con paso alternado,1,0,Choque,100.0
2861,Antioquia,2017-10-02,lunes,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2862,Antioquia,2017-10-03,martes,Lluvia,Humeda,Montañoso,Curva Izquierda,Parcial con paso alternado,0,1,Choque,100.0
2863,Antioquia,2017-10-05,jueves,Normal,Seca y limpia,Montañoso,Curva Derecha,Parcial con paso alternado,1,0,Volcamiento,100.0
2864,Antioquia,2017-10-09,lunes,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,0,0,Choque,100.0
2865,Antioquia,2017-10-13,viernes,Normal,Seca y limpia,Montañoso,Curva Izquierda,Transito normal con precaución,1,0,Caída ocupante,100.0
2866,Antioquia,2017-10-16,lunes,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,0,0,Choque,100.0
2867,Antioquia,2017-10-16,lunes,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2868,Antioquia,2017-10-29,domingo,Lluvia,Humeda,Montañoso,Recta,Transito normal con precaución,2,0,Choque,100.0
2869,Antioquia,2017-10-30,lunes,Normal,Seca y limpia,Montañoso,Curva Izquierda,Parcial con paso alternado,1,0,Choque,100.0
2870,Antioquia,2017-11-04,sabado,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,1,0,Choque,100.0
2871,Antioquia,2017-11-04,sabado,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2872,Antioquia,2017-11-05,domingo,Normal,Seca y limpia,Montañoso,Curva Izquierda,Parcial restringido a vehiculos pesados,2,1,Choque,100.0
2873,Antioquia,2017-11-10,viernes,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,1,0,Choque,100.0
2874,Antioquia,2017-11-10,viernes,Normal,Seca y limpia,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2875,Antioquia,2017-11-11,sabado,Normal,Aceite,Montañoso,Recta,Parcial con reducción de carriles,0,0,Choque,100.0
2876,Antioquia,2017-11-13,lunes,Normal,Seca y limpia,Montañoso,Curva Derecha,Parcial con paso alternado,0,0,Choque,100.0
2877,Antioquia,2017-11-13,lunes,Lluvia,Humeda,Montañoso,Recta,Parcial con paso alternado,0,0,Choque,100.0
2878,Antioquia,2017-11-15,miercoles,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,3,0,Choque,100.0
2879,Antioquia,2017-11-17,viernes,Normal,Seca y limpia,Montañoso,Recta,Parcial con reducción de carriles,9,0,Choque,100.0
2880,Cundinamarca,2017-10-15,domingo,Seca,Seca y limpia,Ondulado,Recta,Transito normal con precaución,0,0,Caída de carga,100.0
2881,Cundinamarca,2017-10-16,lunes,Seca,Seca y limpia,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2882,Cundinamarca,2017-10-17,martes,Seca,Seca y limpia,Ondulado,Curva Derecha,Parcial con reducción de carriles,8,0,Volcamiento,100.0
2883,Cundinamarca,2017-10-19,jueves,Seca,Seca y limpia,Ondulado,Curva Derecha,Transito normal con precaución,0,0,Choque,100.0
2884,Cundinamarca,2017-10-21,sabado,Seca,Seca y limpia,Ondulado,Curva Izquierda,Transito normal con precaución,0,0,Choque,100.0
2885,Cundinamarca,2017-10-21,sabado,Lluvia,Humeda,Ondulado,Curva Derecha,Transito normal con precaución,0,0,Choque,100.0
2886,Cundinamarca,2017-10-22,domingo,Seca,Seca y limpia,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2887,Cundinamarca,2017-10-23,lunes,Seca,Seca y limpia,Ondulado,Curva Izquierda,Parcial con reducción de carriles,1,0,Choque,100.0
2888,Cundinamarca,2017-10-23,lunes,Seca,Seca y limpia,Ondulado,Recta,Transito normal con precaución,0,0,Volcamiento,100.0
2889,Cundinamarca,2017-10-23,lunes,Seca,Seca y limpia,Ondulado,Curva Derecha,Parcial con reducción de carriles,1,0,Choque,100.0
2890,Cundinamarca,2017-11-05,domingo,Lluvia,Humeda,Ondulado,Recta,Transito normal con precaución,2,0,Choque,100.0
